time,device_id,lat,lng,speed,direction
2026-04-28 20:52:29,014084725763,34.253767,108.994590,41.6,52
2026-04-28 20:52:30,014084725763,34.253775,108.994575,41.6,18
2026-04-28 20:52:31,014084725763,34.253775,108.994559,41.7,41
2026-04-28 20:52:32,014084725763,34.253771,108.994544,41.6,70
2026-04-28 20:52:34,014084725763,34.253779,108.994544,41.6,40
2026-04-28 20:52:35,014084725763,34.253779,108.994544,41.6,40
2026-04-28 20:52:37,014084725763,34.253771,108.994529,41.6,40
2026-04-28 20:52:39,014084725763,34.253766,108.994460,41.6,37
2026-04-28 20:52:39,014084725763,34.253766,108.994460,41.6,37
2026-04-28 20:52:40,014084725763,34.253766,108.994460,41.6,17
2026-04-28 20:52:41,014084725763,34.253766,108.994445,41.6,43
2026-04-28 20:52:42,014084725763,34.253758,108.994430,41.6,42
2026-04-28 20:52:43,014084725763,34.253755,108.994430,41.6,47
2026-04-28 20:52:45,014084725763,34.253739,108.994414,41.6,57
2026-04-28 20:52:45,014084725763,34.253728,108.994414,41.5,51
2026-04-28 20:52:46,014084725763,34.253713,108.994414,41.6,43
2026-04-28 20:52:46,014084725763,34.253701,108.994414,41.5,67
2026-04-28 20:52:48,014084725763,34.253678,108.994414,41.5,62
2026-04-28 20:52:49,014084725763,34.253663,108.994398,41.5,39
2026-04-28 20:52:50,014084725763,34.253663,108.994398,41.5,39
2026-04-28 20:52:53,014084725763,34.253613,108.994398,41.5,56
2026-04-28 20:52:54,014084725763,34.253602,108.994398,41.5,47
2026-04-28 20:52:55,014084725763,34.253594,108.994375,41.5,64
2026-04-28 20:52:55,014084725763,34.253594,108.994375,41.5,64
2026-04-28 20:52:56,014084725763,34.253583,108.994375,41.5,44
2026-04-28 20:52:57,014084725763,34.253572,108.994375,41.5,37
2026-04-28 20:53:00,014084725763,34.253537,108.994360,41.6,46
2026-04-28 20:53:02,014084725763,34.253514,108.994360,41.5,60
2026-04-28 20:53:03,014084725763,34.253499,108.994360,41.5,65
2026-04-28 20:53:05,014084725763,34.253476,108.994345,41.5,95
2026-04-28 20:53:06,014084725763,34.253465,108.994345,41.5,97
2026-04-28 20:53:08,014084725763,34.253434,108.994329,41.5,37
2026-04-28 20:53:10,014084725763,34.253423,108.994329,41.6,93
2026-04-28 20:53:11,014084725763,34.253423,108.994329,41.6,93
2026-04-28 20:53:11,014084725763,34.253411,108.994314,41.4,65
2026-04-28 20:53:12,014084725763,34.253408,108.994299,41.5,34
2026-04-28 20:53:14,014084725763,34.253377,108.994261,41.5,55
2026-04-28 20:53:15,014084725763,34.253366,108.994261,41.5,60
2026-04-28 20:53:15,014084725763,34.253366,108.994261,41.5,60
2026-04-28 20:53:16,014084725763,34.253350,108.994261,41.5,58
2026-04-28 20:53:21,014084725763,34.253346,108.994261,41.5,19
2026-04-28 20:53:21,014084725763,34.253335,108.994261,41.5,28
2026-04-28 20:53:24,014084725763,34.253301,108.994246,41.5,95
2026-04-28 20:53:24,014084725763,34.253285,108.994246,41.6,22
2026-04-28 20:53:25,014084725763,34.253270,108.994246,41.6,44
2026-04-28 20:53:28,014084725763,34.253209,108.994230,41.5,31
2026-04-28 20:53:29,014084725763,34.253202,108.994215,41.6,48
2026-04-28 20:53:29,014084725763,34.253202,108.994215,41.6,6
2026-04-28 20:53:30,014084725763,34.253194,108.994215,41.6,22
2026-04-28 20:53:30,014084725763,34.253186,108.994230,41.6,28
2026-04-28 20:53:30,014084725763,34.253179,108.994215,41.6,57
2026-04-28 20:53:31,014084725763,34.253178,108.994200,41.6,50
2026-04-28 20:53:31,014084725763,34.253174,108.994200,41.7,41
2026-04-28 20:53:33,014084725763,34.253170,108.994200,41.6,21
2026-04-28 20:53:33,014084725763,34.253170,108.994200,41.6,23
2026-04-28 20:53:35,014084725763,34.253155,108.994200,41.6,20
2026-04-28 20:53:36,014084725763,34.253155,108.994200,41.6,20
2026-04-28 20:53:36,014084725763,34.253151,108.994200,41.6,9
2026-04-28 20:53:38,014084725763,34.253132,108.994184,41.6,49
2026-04-28 20:53:39,014084725763,34.253139,108.994168,41.6,91
2026-04-28 20:53:40,014084725763,34.253139,108.994168,41.6,21
2026-04-28 20:53:41,014084725763,34.253120,108.994153,41.6,21
2026-04-28 20:53:42,014084725763,34.253120,108.994153,41.6,21
2026-04-28 20:53:43,014084725763,34.253109,108.994153,41.6,33
2026-04-28 20:53:43,014084725763,34.253098,108.994115,41.7,36
2026-04-28 20:53:44,014084725763,34.253098,108.994115,41.7,26
2026-04-28 20:53:44,014084725763,34.253078,108.994084,41.7,54
2026-04-28 20:53:46,014084725763,34.253059,108.994069,41.7,40
2026-04-28 20:53:46,014084725763,34.253059,108.994069,41.7,40
2026-04-28 20:53:47,014084725763,34.253036,108.994069,41.8,29
2026-04-28 20:53:47,014084725763,34.253017,108.994069,41.8,46
2026-04-28 20:53:50,014084725763,34.252987,108.994084,41.7,77
2026-04-28 20:53:51,014084725763,34.252979,108.994084,41.7,66
2026-04-28 20:53:52,014084725763,34.252964,108.994084,41.7,80
2026-04-28 20:53:55,014084725763,34.252911,108.994069,41.7,25
2026-04-28 20:53:57,014084725763,34.252895,108.994069,41.7,49
2026-04-28 20:53:58,014084725763,34.252895,108.994069,41.7,49
2026-04-28 20:53:58,014084725763,34.252884,108.994069,41.6,29
2026-04-28 20:53:59,014084725763,34.252876,108.994069,41.7,24
2026-04-28 20:53:59,014084725763,34.252872,108.994084,41.7,26
2026-04-28 20:54:00,014084725763,34.252872,108.994084,41.7,18
2026-04-28 20:54:01,014084725763,34.252865,108.994100,41.7,12
2026-04-28 20:54:02,014084725763,34.252865,108.994100,41.7,12
2026-04-28 20:54:05,014084725763,34.252857,108.994100,41.7,32
2026-04-28 20:54:07,014084725763,34.252857,108.994100,41.7,0
2026-04-28 20:54:11,014084725763,34.252842,108.994100,41.7,53
2026-04-28 20:54:12,014084725763,34.252834,108.994084,41.7,45
2026-04-28 20:54:15,014084725763,34.252838,108.994084,41.7,25
2026-04-28 20:54:17,014084725763,34.252838,108.994084,41.6,16
2026-04-28 20:54:18,014084725763,34.252838,108.994084,41.6,16
2026-04-28 20:54:22,014084725763,34.252838,108.994084,41.7,25
2026-04-28 20:54:23,014084725763,34.252838,108.994069,41.7,19
2026-04-28 20:54:23,014084725763,34.252842,108.994069,41.7,21
2026-04-28 20:54:24,014084725763,34.252846,108.994069,41.7,23
2026-04-28 20:54:24,014084725763,34.252846,108.994069,41.7,23
2026-04-28 20:54:25,014084725763,34.252846,108.994069,41.7,18
2026-04-28 20:54:25,014084725763,34.252842,108.994069,41.7,3
2026-04-28 20:54:26,014084725763,34.252838,108.994084,41.7,26
2026-04-28 20:54:27,014084725763,34.252838,108.994084,41.6,0
